Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,30092020,568164420,0001792
Trade Date <30-SEP-2020>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,702,IGPL,EQ,145445,70151,48.23
20,703,IIFCL,N4,1,1,100.00
20,704,IIFL,EQ,332370,123758,37.24
20,705,IIFL,N4,781,675,86.43
20,706,IIFL,N5,175,175,100.00
20,707,IIFL,N6,100,100,100.00
20,708,IIFL,N8,305,285,93.44
20,709,IIFL,NA,50,25,50.00
20,710,IIFL,NC,74,74,100.00
20,711,IIFLSEC,EQ,460569,283803,61.62
20,712,IIFLWAM,EQ,34544,21598,62.52
20,713,IMAGICAA,EQ,52960,39131,73.89
20,714,IMFA,EQ,4967,3103,62.47
20,715,IMPAL,EQ,322,252,78.26
20,716,INDBANK,EQ,31614,17466,55.25
20,717,INDHOTEL,EQ,1469831,860818,58.57
20,718,INDIACEM,EQ,1151708,487261,42.31
20,719,INDIAGLYCO,EQ,56503,17758,31.43
20,720,INDIAMART,EQ,178454,77095,43.20
20,721,INDIANB,EQ,334297,100829,30.16
20,722,INDIANCARD,EQ,181,169,93.37
20,723,INDIANHUME,EQ,18564,11242,60.56
20,724,INDIGO,EQ,1406384,241138,17.15
20,725,INDIGRID,IV,848799,801171,94.39
20,726,INDLMETER,EQ,466,465,99.79
20,727,INDNIPPON,EQ,2223,1142,51.37
20,728,INDOCO,EQ,855384,575307,67.26
20,729,INDORAMA,EQ,19103,14310,74.91
20,730,INDOSTAR,EQ,10104,7195,71.21
20,731,INDOTECH,EQ,1901,969,50.97
20,732,INDOTHAI,EQ,1378,1377,99.93
20,733,INDOWIND,EQ,12402,11154,89.94
20,734,INDRAMEDCO,EQ,103363,51262,49.59
20,735,INDSWFTLAB,EQ,264883,157888,59.61
20,736,INDTERRAIN,EQ,64187,40903,63.72
20,737,INDUSINDBK,EQ,18784991,1739028,9.26
20,738,INEOSSTYRO,EQ,1942,1192,61.38
20,739,INFIBEAM,EQ,149635,70954,47.42
20,740,INFOBEAN,EQ,50962,35426,69.51
20,741,INFRABEES,EQ,377,221,58.62
20,742,INFRATEL,EQ,13029531,4646920,35.66
20,743,INFY,EQ,8049899,3906361,48.53
20,744,INGERRAND,EQ,9507,6355,66.85
20,745,INNOVATIVE,SM,3000,3000,100.00
20,746,INOXLEISUR,EQ,485502,153055,31.53
20,747,INOXWIND,EQ,27668,9763,35.29
20,748,INSECTICID,EQ,55492,29455,53.08
20,749,INSPIRISYS,EQ,6590,5243,79.56
20,750,INTELLECT,EQ,412554,309547,75.03
20,751,INTENTECH,EQ,22873,17236,75.36
20,752,INVENTURE,EQ,4214,3304,78.41
20,753,IOB,EQ,683367,412876,60.42
20,754,IOC,EQ,18970112,3989394,21.03
20,755,IOLCP,EQ,308613,142472,46.17
20,756,IPCALAB,EQ,240072,87141,36.30
20,757,IRB,EQ,1002114,493343,49.23
20,758,IRBINVIT,IV,365000,320000,87.67
20,759,IRCON,EQ,471826,142273,30.15
20,760,IRCTC,EQ,637109,162970,25.58
20,761,IREDA,N5,29,29,100.00
20,762,IREDA,N6,39,39,100.00
20,763,IREDA,N7,558,558,100.00
20,764,IRFC,N1,2317,2317,100.00
20,765,IRFC,N2,214,207,96.73
20,766,IRFC,N7,180,90,50.00
20,767,IRFC,N9,260,260,100.00
20,768,IRFC,NA,30,30,100.00
20,769,IRFC,ND,210,210,100.00
20,770,IRFC,NE,68,67,98.53
20,771,IRFC,NJ,158,158,100.00
20,772,IRFC,NK,857,500,58.34
20,773,IRFC,NN,631,595,94.29
20,774,IRFC,NO,150,150,100.00
20,775,IRISDOREME,SM,4800,4800,100.00
20,776,ISEC,EQ,88727,29452,33.19
20,777,ISFT,EQ,9859,7212,73.15
20,778,ITC,EQ,18482053,6479325,35.06
20,779,ITDC,EQ,42080,10444,24.82
20,780,ITDCEM,EQ,534334,202215,37.84
20,781,ITI,EQ,517944,90579,17.49
20,782,IVP,EQ,4358,2245,51.51
20,783,IVZINGOLD,EQ,23,17,73.91
20,784,IVZINNIFTY,EQ,17,15,88.24
20,785,IZMO,EQ,12859,5962,46.36
20,786,JAGRAN,EQ,84862,63038,74.28
20,787,JAGSNPHARM,EQ,46237,26965,58.32
20,788,JAIBALAJI,EQ,2345,1700,72.49
20,789,JAICORPLTD,EQ,465137,69721,14.99
20,790,JAKHARIA,SM,22400,22400,100.00
20,791,JAMNAAUTO,EQ,1140917,499335,43.77
20,792,JASH,EQ,108429,71228,65.69
20,793,JAYAGROGN,EQ,4165,3413,81.94
20,794,JAYBARMARU,EQ,408701,88889,21.75
