script_code,company_name,symbol
539254,Adani Transmission ,ADANITRANS
539268,Syngene International ,SYNGENE
539276,Kaya ,KAYA
539289,MAJESCO ,MAJESCO
539301,Arvind SmartSpaces ,ARVSMART
539302,Power Mech Projects ,POWERMECH
539332,Navkar Corporation ,NAVKARCORP
539336,Gujarat Gas ,GUJGAS
539351,Prabhat Dairy ,PRABHAT
539437,IDFC FIRST BANK ,IDFCFIRSTB
539448,InterGlobe Aviation ,INDIGO
539523,Alkem Laboratories ,ALKEM
539524,Dr Lal Pathlabs ,LALPATHLAB
539542,LUX Industries ,LUXIND
539551,Narayana Hrudayalaya ,NH
539658,TeamLease Services ,TEAMLEASE
539807,INFIBEAM AVENUES ,INFIBEAM
539844,Equitas Holdings ,EQUITAS
539889,Parag Milk Foods ,PARAGMILK
539957,Mahanagar Gas ,MGL
539978,Quess Corp ,QUESS
540047,Dilip Buildcon ,DBL
540048,SP Apparels ,SPAL
540064,Future Retail ,FRETAIL
540065,RBL Bank ,RBLBANK
540136,HPL Electric & Power ,HPL
540180,Varun Beverages ,VBL
540203,Sheela Foam ,SFL
540212,TCI Express ,TCIEXP
540222,Laurus Labs ,LAURUSLABS
540293,Pricol ,PRICOL
540366,Music Broadcast ,RADIOCITY
540376,Avenue Supermarts ,DMART
540497,S Chand And Company ,SCHAND
540526,IRB InvIT Fund,IRBINVIT
540544,PSP Projects ,PSPPROJECT
540565,India Grid Trust,INDIGRID
540575,Star Cement ,STARCEMENT
540595,Tejas Networks ,TEJASNET
540596,Eris Lifesciences ,ERIS
540602,GTPL Hathway ,GTPL
540611,AU Small Finance Bank ,AUBANK
540649,AVADH SUGAR & ENERGY ,AVADHSUGAR
540678,Cochin Shipyard ,COCHINSHIP
540680,KIOCL ,KIOCL
540691,Aditya Birla Capital ,ABCAPITAL
540692,Apex Frozen Foods ,APEX
540700,Bharat Road Network ,BRNL
540701,Dishman Carbogen Amcis ,DCAL
540704,Matrimonycom ,MATRIMONY
540709,Reliance Home Finance ,RHFL
540710,Capacit'e Infraprojects ,CAPACITE
540724,Prataap Snacks ,DIAMONDYD
540743,Godrej Agrovet ,GODREJAGRO
540768,Mahindra Logistics ,MAHLOG
540775,Khadim India ,KHADIM
540776,5paisa Capital ,5PAISA
540797,Shalby ,SHALBY
540879,Apollo Micro Systems ,APOLLO
540935,Galaxy Surfactants ,GALAXYSURF
540975,Aster DM Healthcare ,ASTERDM
541019,HG Infra Engineering ,HGINFRA
541143,Bharat Dynamics ,BDL
541153,Bandhan Bank ,BANDHANBNK
541154,Hindustan Aeronautics ,HAL
541161,Karda Constructions ,KARDA
541179,ICICI Securities ,ISEC
541195,Mishra Dhatu Nigam ,MIDHANI
541233,Lemon Tree Hotels ,LEMONTREE
541301,Orient Electric ,ORIENTELEC
541403,Dollar Industries ,DOLLAR
541450,Adani Green Energy ,ADANIGREEN
541556,RITES ,RITES
541578,Varroc Engineering ,VARROC
541700,TCNS Clothing Co ,TCNSBRANDS
541770,CreditAccess Grameen ,CREDITACC
541956,IRCON International ,IRCON
541988,AAVAS Financiers ,AAVAS
542066,Adani Gas ,ADANIGAS
542216,DALMIA BHARAT ,DALBHARAT
542231,Nila Spaces ,NILASPACES
542333,CESC Ventures ,CESCVENT
542337,Spencer's Retail ,SPENCERS
542399,Chalet Hotels ,CHALET
542460,The Anup Engineering ,ANUP
542484,Arvind Fashions ,ARVINDFASN
542597,MSTC ,MSTC
542602,Embassy Office Parks REIT,EMBASSY
542649,Rail Vikas Nigam ,RVNL
542650,Metropolis Healthcare ,METROPOLIS
542651,KPIT Technologies ,KPITTECH
542652,Polycab India ,POLYCAB
542655,Vikas Multicorp ,VIKASMCORP
542665,Neogen Chemicals ,NEOGEN
542684,Prakash Pipes ,PPL
542726,IndiaMART InterMESH ,INDIAMART
542752,Affle  ,AFFLE
542773,IIFL Securities ,IIFLSEC
542812,Gujarat Fluorochemicals ,GUJFLUORO
542867,CSB Bank ,CSBBANK
542904,Ujjivan Small Finance Bank ,UJJIVANSFB
542932,Birla Tyres ,BIRLATYRE
543064,SUVEN PHARMACEUTICALS ,SUVENPHAR
543212,Borosil ,BORO
543213,ROSSARI BIOTECH ,ROSSARI
543217,Mindspace Business Parks REIT,MINDSPACE
570001,Tata Motors ,TATAMOTORS
570002,Future Enterprises ,FEL
570004,Jain Irrigation Systems ,JISLJALEQS
590003,Karur Vysya Bank ,KARURVYSYA
590005,Tide Water Oil  ,TIDEWATER
590021,Bharat Rasayan ,BHARATRAS
590051,Saksoft ,SAKSOFT
590066,KCP ,KCP
590071,SUNDARAM FINANCE ,SUNDARMFIN
590073,WHEELS INDIA ,WHEELS
590078,Maithan Alloys ,MAITHANALL
590134,Madras Fertilizers ,MADRASFERT
890147,Reliance Industries ,RELIANCE
